backend,config_family,run_group,n_runs,seeds,operand_digits,answer_order,loss_type,train_steps,eval_generated_exact_match_accuracy_mean,eval_generated_exact_match_accuracy_std,eval_generated_exact_match_accuracy_ci95_low,eval_generated_exact_match_accuracy_ci95_high,eval_teacher_forced_exact_match_accuracy_mean,eval_teacher_forced_exact_match_accuracy_std,test_generated_exact_match_accuracy_mean,test_generated_exact_match_accuracy_std,test_generated_exact_match_accuracy_ci95_low,test_generated_exact_match_accuracy_ci95_high,carry_heavy_exact_match_accuracy_mean,carry_heavy_exact_match_accuracy_std,carry_heavy_generated_exact_match_accuracy_mean,carry_heavy_generated_exact_match_accuracy_std,steady_state_step_time_ms_mean,steady_state_step_time_ms_std,tokens_per_sec_mean,tokens_per_sec_std,time_to_90_mean,time_to_90_std,time_to_99_mean,time_to_99_std
jax,colab_answer_only_5digit,seeded,5,0 1 2 3 4,5,normal,answer_only,1000,0.9531,0.0102189,0.9461,0.9614,0.9531,0.0102189,0.9522,0.0066106,0.9467,0.9571,0.958,0.0572964,0.958,0.0572964,7.44561,0.0290163,653279,2548.68,760,54.7723,,
jax,colab_answer_only_6digit,seeded,5,0 1 2 3 4,6,normal,answer_only,1000,0.9175,0.013725,0.9053,0.9264,0.9175,0.013725,0.9158,0.0213501,0.8982,0.9312,0.9926,0.00672123,0.9926,0.00672124,8.11598,0.0317931,693948,2722.83,950,57.735,,
jax,colab_answer_only_6digit_long,seeded,1,0,6,normal,answer_only,3000,0.9915,,,,0.9915,,0.9925,,,,1,,1,,7.89419,,713436,,1000,,2800,
jax,colab_reversed_answer_5digit,seeded,5,0 1 2 3 4,5,reversed,answer_only,1000,1,0,1,1,1,0,1,0,1,1,0.9998,0.000447212,0.9998,0.000447214,7.44523,0.0401709,653320,3533.75,380,83.666,420,83.666
jax,colab_reversed_answer_6digit,seeded,5,0 1 2 3 4,6,reversed,answer_only,1000,1,0,1,1,1,0,1,0,1,1,1,0,1,0,8.09731,0.0314304,695548,2697.96,420,83.666,460,54.7723
jax,colab_sweep_5digit,seeded,5,0 1 2 3 4,5,normal,full_sequence,1000,0.3954,0.495172,0.0219,0.7689,0.3954,0.495172,0.3953,0.490441,0.0255,0.7651,0.4132,0.518501,0.4132,0.518501,7.49263,0.106785,649275,9083.06,1000,0,,
jax,colab_sweep_6digit,seeded,5,0 1 2 3 4,6,normal,full_sequence,1000,0.018,0.0394129,0.0001,0.0533,0.018,0.0394129,0.0164,0.0363927,0,0.049,0.0145,0.0310302,0.0144,0.0308067,8.20058,0.103435,686868,8616.56,,,,
torch,colab_answer_only_5digit,seeded,5,0 1 2 3 4,5,normal,answer_only,1000,0.6138,0.389997,0.2848,0.8997,0.6138,0.389997,0.6184,0.390429,0.2919,0.906,0.6438,0.421555,0.6438,0.421555,17.4919,0.146911,278088,2334.27,950,70.7107,,
torch,colab_answer_only_6digit,seeded,5,0 1 2 3 4,6,normal,answer_only,1000,0.4591,0.414852,0.1422,0.77,0.4591,0.414852,0.4551,0.410582,0.1408,0.7626,0.5084,0.460461,0.5084,0.460461,18.9391,0.0591267,297377,928.736,1000,,,
torch,colab_answer_only_6digit_long,seeded,1,0,6,normal,answer_only,3000,0.994,,,,0.994,,0.993,,,,0.9995,,0.9995,,18.897,,298037,,1500,,2200,
torch,colab_reversed_answer_5digit,seeded,5,0 1 2 3 4,5,reversed,answer_only,1000,1,0,1,1,1,0,1,0,1,1,0.9999,0.000223607,0.9999,0.000223607,17.5802,0.161554,276693,2560.11,460,54.7723,480,83.666
torch,colab_reversed_answer_6digit,seeded,5,0 1 2 3 4,6,reversed,answer_only,1000,1,0,1,1,1,0,1,0,1,1,1,0,1,0,18.9404,0.0557203,297356,874.594,560,54.7723,600,70.7107
torch,colab_sweep_5digit,seeded,5,0 1 2 3 4,5,normal,full_sequence,1000,0.0112,0.00623097,0.0067,0.0161,0.0112,0.00623097,0.0109,0.00412916,0.0077,0.014,0.0134,0.00727496,0.0134,0.00727496,17.543,0.125424,277273,1973.79,,,,
torch,colab_sweep_6digit,seeded,5,0 1 2 3 4,6,normal,full_sequence,1000,0.0003,0.000447214,0,0.0007,0.0003,0.000447214,0.0009,0.000961769,0.0003,0.0017,0.0004,0.00065192,0.0004,0.00065192,18.9325,0.040177,297479,631.048,,,,
